ID,gender,age,region,fixed,allocation
1,male,older,rural,False,0
2,male,younger,urban,False,0
3,female,younger,rural,False,0
4,female,older,urban,False,0
5,male,younger,urban,False,0
6,male,older,rural,False,0
7,male,older,rural,False,0
8,female,older,rural,False,1
9,male,younger,urban,False,1
10,female,younger,urban,False,1
11,male,older,rural,False,1
12,female,older,rural,False,1
13,male,older,urban,False,1
14,female,younger,urban,False,1
15,female,older,urban,False,2
16,female,younger,urban,False,2
17,male,younger,urban,False,2
18,female,older,urban,False,2
19,female,older,urban,False,2
20,male,older,urban,False,2
21,male,younger,urban,False,2
22,male,younger,urban,False,2
23,female,older,urban,False,3
24,male,older,urban,False,3
25,female,younger,rural,False,3
26,male,younger,rural,False,3
27,female,older,urban,False,3
28,male,older,urban,False,3
29,female,younger,urban,False,3
30,male,younger,urban,False,3
